"addon"
{
    "shushan_suicide"           "自杀"
    "shushan_fortune_teller_say_dixianzhuanshi"        "你是一位得道地仙转世，身上挂着的是你的本命法器，会随着你的战斗不断善用其的能力。"
    "shushan_fortune_teller_say_fuhao"        "你是名门富豪家子，一生财源滚滚。"
    "shushan_fortune_teller_say_tiancai"        "你天赋秉异，拥有常人不能比拟的潜力。"
    "shushan_fortune_teller_say_wuzu"        "你是一名巫族后裔，与常人相比拥有更强大的肉体能力。"
    "shushan_fortune_teller_say_qingqiushanhouren"        "你是一名青丘山后裔，因此轻功比常人快上许多。"
    "shushan_fortune_teller_say_tonglingshi"        "你是一名通灵师，因此能复活死者。"
    "shushan_fortune_teller_say_wakuangzongshi"        "你是一名挖矿宗师，因此比一般人更加熟悉采矿。"
    "shushan_fortune_teller_say_xunshoushi"        "你是一名驯兽师，你能通晓百兽，这只灵狼是你的搭档。"
    "shushan_fortune_teller_say_jinchanzi"        "你是金蝉子转世，天生就功德无量。"
    "shushan_fortune_teller_say_lianqitianshi"        "你是一名炼器天师，通晓锻器之法。"
    "shushan_fortune_teller_say_fanjidashi"        "你是一名反击大师，善于在闪避时反击对手。"
    "shushan_fortune_teller_say_julingshenzu"        "你是天生拥有一条巨灵神足，拥有常人不可比拟的脚力。"
    "shushan_fortune_teller_say_shennonghouyi"        "你是神农后裔，拥有固本培元的体质。"
    "shushan_fortune_teller_say_xiulianzhe"        "你是一名修炼者，精于战斗与修炼。"
    "shushan_fortune_teller_say_shanggujinwu"        "你是一头上古金乌，天生就带有不同寻常的羽翼。"
    "shushan_fortune_teller_say_bukuai"        "你是一名捕快，通缉妖魔可是你的拿手好戏。"
    "shushan_fortune_teller_say_lianhuazhe"        "你是一名炼化者，似乎从没有炼化失手过。"
    "shushan_fortune_teller_say_xingyuner"        "你是一名幸运儿，似乎会比别人获取更多的物品。"
    "shushan_fortune_teller_say_tuoyanzhenghuanzhe"        "你是一名拖延症患者，怪物都拿你没办法。"
    "shushan_fortune_teller_say_buyudaren"        "你是一名捕鱼达人，似乎能网到什么意想不到的东西。"
    "shushan_fortune_teller_say_zuoyoufengyuan"        "你人缘很好，杂货铺老板和黑市商人都对你赞赏有佳。"
    "shushan_fortune_teller_say_zhuanshizhe"        "你是一名转世狂人，复活时间是正常人的一半。"
    "shushan_fortune_teller_say_fojiaoxintu"        "你是一名佛教信徒，死亡后可以立即重生。"
    "shushan_fortune_teller_say_canjiren"        "你是一名残疾人，无法进行跑步，但意志比一般人坚定。"
    "shushan_fortune_teller_say_shenyi"        "你是一名神医，天生自带回血光环。"
    "shushan_fortune_teller_say_dushen"        "你是一名赌神，普通赌博不会失败，且可以和黑市商人赌一些更稀有的道具。"
    "shushan_fortune_teller_say_qigongdashi"        "你是一名气功大师，可以运用法力来抵挡伤害。"
    "avalon_msg_materials_not_enough"        "材料不足"
    "avalon_compose_item_mini_frame_title"        "可以合成<font color='#00F245'>{s:ItemName}</font>"
    "avalon_only_eat_once"        "[只能服用一次]"
    "fuse_items"        "炼化"
    "fuse_item_materials"        "无灵石"
    "fuse_item_material_tooltip"        "<font color='#FF5E06'>增加炼化成功率: </font></font><font color='#FFBC12'>{s:percent}%</font>"
    "fuse_items_this_is_not_material"        "这个物品不是无灵石"
    "fuse_items_can_not_use_material"        "无法使用这个无灵石，品质不相等"
    "fuse_item_require_items"        "需要物品"
    "fuse_item_chance"        "<font color='#FF5E06'>成功率: </font><font color='#FFBC12'>{s:percent}%</font>"
    "fuse_item_yuanhui"        "<font color='#FF5E06'>消耗元会: </font><font color='#FFBC12'>{d:amount}</font>"
    "fuse_items_failed"        "炼化<font color='#EF1400'>失败!!!</font>"
    "fuse_items_succeeded"        "炼化<font color='#00F245'>成功!!!</font>"
    "avalon_fuse_items"        "炼化"
    "avalon_wings"        "翅膀"
    "avalon_suitable"        "适合"
    "shushan_wing_upgrade_succeeded"        "升级翅膀成功"
    "shushan_wing_title"        "请选择下面其中一种翅膀"
    "shushan_wing_tian_gang_zhan_yi"        "天罡战翼"
    "shushan_wing_wan_he_fa_yi"        "万核法翼"
    "shushan_wing_shi_hun_mo_yi"        "噬魂魔翼"
    "shushan_wing_jin_wu_yu_yi"        "金乌羽翼"
    "shushan_wing_tian_gang_zhan_yi_info"        "<font color='#FF5E06'>特点:</font> 防御和输出兼备"
    "shushan_wing_wan_he_fa_yi_info"        "<font color='#FF5E06'>特点:</font> 法系特用，输出较高，防御略低"
    "shushan_wing_shi_hun_mo_yi_info"        "<font color='#FF5E06'>特点:</font> 输出高于天罡，防御低于天罡"
    "shushan_to_assign_attribute_points"        "待分配属性点: {d:points}"
    "shushan_attribute_state_1"        "筑基期"
    "shushan_attribute_state_2"        "开光期"
    "shushan_attribute_state_3"        "融合期"
    "shushan_attribute_state_4"        "心动期"
    "shushan_attribute_state_5"        "金丹期"
    "shushan_attribute_state_6"        "元婴期"
    "shushan_attribute_state_7"        "出窍期"
    "shushan_attribute_state_8"        "分神期"
    "shushan_attribute_state_9"        "合体期"
    "shushan_attribute_state_10"        "洞虚期"
    "shushan_attribute_state_11"        "大乘期"
    "shushan_attribute_state_12"        "渡劫期"
    "shushan_attribute_state_title_1"        "炼精化气"
    "shushan_attribute_state_title_2"        "炼气化神"
    "shushan_attribute_state_title_3"        "炼神还虚"
    "shushan_attribute_state_title_4"        "炼虚合道"
    "shushan_state_upgrade_next_state"        "到达下一境界需要<br><font color='#00F245'>筋骨,身法,道法</font> 达到 <font color='#FFBB0C'>{d:value1}</font><br><font color='#00F245'>功德</font> 达到 <font color='#FFBB0C'>{d:value2}</font><br><font color='#00F245'>等级</font> 达到 <font color='#FFBB0C'>{d:value3}</font><br> (目前<font color='#00F245'>筋骨</font>:<font color='#FFBB0C'>{d:str}</font>,<font color='#00F245'>身法</font>:<font color='#FFBB0C'>{d:agi}</font>,<font color='#00F245'>道法</font>:<font color='#FFBB0C'>{d:int}</font>,<font color='#00F245'>功德</font>:<font color='#FFBB0C'>{d:merits}</font>)"
    "shushan_state_you_has_reached_the_highest_state"        "你已经达到最高境界"
    "shushan_state_can_not_upgrade"        "未达到要求，无法提升境界"
    "shushan_state_upgrade_success"        "提升境界成功，进入<font color='#00F245'>{s:text}</font>"
    "avalon_quests_accept_title"        "接受"
    "avalon_quests_accept_hunting_title"        "揭榜"
    "avalon_dialog_options_YES"        "是"
    "avalon_dialog_options_NO"        "否"
    "avalon_dialog_options_OK"        "好"
    "avalon_dialog_options_IGNORE"        "忽略"
    "avalon_dialog_options_CANCEL"        "取消"
    "dialog_title_warning"        "警告"
    "shushan_do_you_want_to_go_to_jifengya"        "是否要前往疾风崖？<br><br>疾风崖常年有风障，如果没有携带定风珠在进入之时会受到10000点伤害,<br>此外夜间风障将会消失，届时就不会受到伤害。<br>"
    "yunlian_defense_spawn_say"        "汝等渣渣，放开这个基地，冲我来！！！"
    "shushan_door_can_not_enter"        "无<font color='#00F245'>{s:ItemName}</font>,不得入内"
    "avalon_quests_go_to_next_target"        "前往下一个目标点"
    "obtain_item_type_quests"        "· 任务 - <font color='#FFBB0C'>{s:name}</font>"
    "obtain_item_type_kill"        "· 击杀 - <font color='#EF1400'>{s:name}</font>"
    "obtain_item_type_shop"        "· 在 <font color='#00F245'>{s:name}</font> 购买"
    "obtain_item_type_points"        "· 在 <font color='#00F245'>积分商店</font>使用<font color='#00F245'>{s:name}</font> 兑换"
    "obtain_item_type_compose"        "· 通过其他物品合成"
    "obtain_item_type_plant"        "· 采集"
    "obtain_item_type_collect_ore"        "· 采集<font color='#00F245'>{s:name}</font> (<font color='#FFBB0C'>{d:chance}%</font>)"
    "obtain_item_type_fuseitem"        "· 炼化"
    "obtain_item_type_mixingweapon"        "· 炼器 ({d:stage})"
    "avalon_hide"        "隐藏"
    "avalon_go_to"        "前往"
    "avalon_teleport_to_fort"        "快速回城"
    "avalon_show_in_mini_quests_frame"        "在任务追踪显示"
    "avalon_can_compose_to_items"        "可以合成："
    "go_to_compose_frame"        "前往合成界面"
    "avalon_obtain_methods"        "获得方式："
    "avalon_item_spell_double_click"        "[双击立即使用]"
    "avalon_item_spell_to_quickly_slot"        "[拖动到快捷施法栏使用]"
    "avalon_setting_accept_quest_type"        "默认接受的任务类型"
    "avalon_points_shop"        "积分商店"
    "avalon_points_shop_protect_fort_points"        "守家积分"
    "avalon_points_shop_hunting_points"        "通缉积分"
    "avalon_help_book"        "帮助手册"
    "error_msg_bag_can_not_add_item"        "无法添加物品，请检查背包是否已满"
    "error_msg_bag_can_not_create_item"        "无法创建物品，请检查背包是否已满"
    "error_msg_bag_can_not_cost_item"        "无法消耗物品"
    "error_msg_bag_can_not_sell_item"        "无法出售物品"
    "error_msg_bag_can_not_swap_item"        "无法交换物品的位置"
    "error_msg_bag_can_not_split_item_is_not_stackable"        "无法分离物品，此物品不是可叠加物品"
    "error_msg_bag_can_not_split_item_number_invalid"        "无法分离物品，分离数量无效"
    "error_msg_bag_can_not_merge_item_itemname_is_not_equal"        "无法合并物品，不是同一种物品"
    "error_msg_courier_can_not_pickup_this_item"        "信使无法拾取这个物品"
    "error_msg_not_near_npc"        "请靠近NPC"
    "shushan_attacking"        "第{s:Number}波: {s:Name}"
    "shushan_attacking_head"        "第{s:Number}波: {s:Name} 来袭"
    "avalon_attacking_stop"        "停止刷怪"
    "avalon_text_attack"        "攻击力"
    "avalon_text_armor"        "物理护甲"
    "avalon_text_magic_armor"        "魔法护甲"
    "avalon_text_unit_maybe_drop_items"        "<   概率掉落   >"
    "avalon_click_here_for_details"        "点击查看详情"
    "avalon_mini_quests"        "任务追踪"
    "avalon_mini_quests_info"        "点击这个按钮可以隐藏任务追踪面板<br><br>点击或者右键下面的任务标题可以查看更多选项"
    "avalon_quest_special_hunting_prefix"        "通缉 - "
    "avalon_quest_special_hunting_title"        "通缉任务"
    "avalon_hunting_quest_panel_title"        "通缉"
    "avalon_quests_target_find_unit"        "找到 <font color='#00F245'>{s:NPC}</font>"
    "avalon_quests_target_kill_unit"        "{d:Count} / {d:MaxCount} 击杀 <font color='#EF1400'>{s:UnitName}</font>"
    "avalon_quests_target_find_item"        "{d:Count} / {d:MaxCount} 收集 <font color='#00F245'>{s:ItemName}</font>"
    "avalon_quests_target_find_any_item"        "{d:Count} 收集任意数量的<font color='#00F245'>{s:ItemName}</font>"
    "avalon_quests_target_submit_item"        "{d:Count} / {d:MaxCount} 收集 <font color='#00F245'>{s:ItemName}</font> 给 <font color='#00F245'>{s:NPC}</font>"
    "avalon_quests_target_submit_any_item"        "{d:Count} 收集任意数量的 <font color='#00F245'>{s:ItemName}</font> 给 <font color='#00F245'>{s:NPC}</font>"
    "avalon_quests_target_finish_child_quest"        "{d:Count} / {d:MaxCount} <font color='#FFBB0C'>{s:Name}</font>"
    "avalon_quests_frame_accepted_quests"        "已接受任务"
    "avalon_quests_frame_can_accept_quests"        "可接受任务"
    "avalon_member_role_game_designer"        "策划"
    "avalon_member_role_programmer"        "程序"
    "avalon_member_role_uid"        "UI设计"
    "avalon_member_role_special_efficts"        "特效"
    "avalon_bulletin_title"        "公告"
    "avalon_game_rate_title"        "当前速率等级: {d:value}"
    "avalon_game_rate_node"        "请选择你期望的速率等级:"
    "avalon_game_rate_tooltip"        "速率影响进攻怪的进攻速度<br><br><font color='#FFD046'>等级1</font> - 增加60秒进攻时间<br><font color='#FFD046'>等级2</font> - 增加30秒进攻时间<br><font color='#FFD046'>等级3</font> - 正常<br><font color='#FFD046'>等级4</font> - 降低30秒进攻时间<br><font color='#FFD046'>等级5</font> - 降低60秒进攻时间"
    "avalon_game_difficulty_title"        "当前难度等级: {d:value}"
    "avalon_game_difficulty_node"        "请选择你期望的难度等级:"
    "avalon_game_difficulty_tooltip"        "<font color='#FFD046'>难度1</font><br>BOSS不会冲锋和回血，攻击力和血量-20%，最高进攻怪波数20波，不开放BOSS和副本：女娲，地府，天池，天庭，摩罗<br><br><font color='#FFD046'>难度2</font><br>BOSS不会冲锋，有回血，攻击力和血量-10%，最高进攻怪波数24波，不开放BOSS和副本：地府，天池，天庭，摩罗<br><br><font color='#FFD046'>难度3</font><br>BOSS会冲锋和回血，攻击力和血量正常，最高进攻怪波数28波，不开放BOSS和副本：天庭，摩罗<br><br><font color='#FFD046'>难度4</font><br>BOSS会冲锋和回血，被控制时间下调至一半，攻击力和血量+10%，最高进攻怪波数32波，此难度以上每一波进攻怪（非BOSS进攻）会刷出一只精英怪，不开放BOSS和副本：半道天宫，摩罗<br><br><font color='#FFD046'>难度5</font><br>BOSS会冲锋和回血，被控制时间下调至一半，冲锋时会免疫Debuff，技能强化，攻击力和血量+20%，最高进攻怪波数32波<br><br><font color='#FFD046'>难度6</font><br>BOSS攻击速度提高50%，BOSS攻击力和血量+30%<br><br><font color='#FFD046'>难度7</font><br>BOSS攻击速度提高50%，BOSS攻击力+30%，血量+160%，技能伤害+100%，无护魔环的无敌效果将无效"
    "avalon_bag_title"        "背包"
    "avalon_bag_use_item"        "使用"
    "avalon_bag_split_item"        "分离"
    "avalon_equipments_title"        "装备"
    "avalon_equipments_equip"        "装备"
    "avalon_equipments_unequip"        "卸载"
    "avalon_submit_quest_items_titile"        "你需要提交以下任务物品：<br>"
    "avalon_quests"        "任务"
    "avalon_quests_good"        "善举"
    "avalon_quests_bad"        "恶举"
    "avalon_quests_none"        "无为"
    "avalon_quests_free"        "自选"
    "avalon_quests_is_repeat"        "重复"
    "avalon_quests_obtain_rewards"        "获得奖励"
    "avalon_quests_function_buy_items"        "{d:Count} / {d:MaxCount} 在<font color='#00F245'>{s:NPC}</font>购买<font color='#00F245'>{s:Target}</font>"
    "avalon_quests_function_sell_items"        "{d:Count} / {d:MaxCount} 将<font color='#00F245'>{s:Target}</font>出售"
    "avalon_quests_function_custom_item_0009"        "{d:Count} / {d:MaxCount} 在石河布网收服{s:Target}"
    "avalon_quests_function_custom_item_0104"        "{d:Count} / {d:MaxCount} 把宝珠放入<font color='#00F245'>{s:Target}</font>"
    "avalon_quests_function_submit_quest"        "{d:Count} / {d:MaxCount} 完成任务 - <font color='#FEBA23'>{s:Quest}</font>"
    "avalon_quests_function_hero_levelup"        "提升等级至<font color='#FEBA23'>{d:MaxLevel}</font> (<font color='#FEBA23'>{d:Level}</font>)"
    "avalon_equipment_tooltip_current_equipment"        "当前装备"
    "avalon_msg_shops_can_not_buy_item"        "无法购买物品，请检查背包"
    "avalon_msg_yunlian_defense"        "基地要爆炸啦！！！云炼出来抢救啦！！！"
    "avalon_msg_yunlian_defense_leave"        "云炼已离开，保护基地，人人有责"
    "avalon_msg_yunlian_not_defense"        "基地要爆炸啦！！！云炼不会出来啦！！！"
    "avalon_msg_enter_dizifang"        "进入弟子房，在这里你可以获得经验值"
    "avalon_msg_not_enough_gold"        "金币不足"
    "avalon_msg_not_enough_wood"        "木材不足"
    "avalon_msg_not_enough_yuanhui"        "元会不足"
    "avalon_msg_not_enough_protect_fort_points"        "守家积分不足"
    "avalon_msg_not_enough_hunting_points"        "狩猎积分不足"
    "avalon_msg_not_enough_assign_attribute_points"        "属性点不足"
    "avalon_msg_not_enough_daoheng"        "道行不足"
    "avalon_msg_accepted_quest"        "[<font color='#00F245'>接受任务</font>] {s:quest_name}"
    "avalon_msg_finished_quest"        "<font color='#FFBB0C'>[完成任务]</font> {s:quest_name}"
    "avalon_msg_submited_quest"        "恭喜完成任务: <font color='#FFBB0C'>{s:quest_name}</font>"
    "avalon_msg_accept_quest_fail"        "[<font color='#EC1D00'>接受任务失败</font>] {s:quest_name}"
    "avalon_currency_gold"        "金币"
    "avalon_currency_wood"        "木材"
    "avalon_currency_yuanhui"        "元会"
    "avalon_currency_daoheng"        "道行<br><br>通过击杀任意副本中的敌人都可以获得道行，获得道行数量等于敌人等级，如果是BOSS将获得五倍等级的道行<br><br>道行会自动兑换成元会，100点道行=1点元会"
    "avalon_quests_subquests"        "任务目标:"
    "avalon_quests_accept_rewards"        "接受任务奖励:"
    "avalon_quests_submit_rewards"        "完成任务奖励:"
    "avalon_quests_rewards_msg_format"        "{s:name} x {d:value}"
    "avalon_quests_rewards_kind_fixed"        "固定奖励"
    "avalon_quests_rewards_kind_random"        "随机奖励"
    "avalon_quests_rewards_kind_chance"        "概率奖励"
    "avalon_quests_rewards_kind_extra"        "额外奖励"
    "avalon_quests_rewards_kind_chance_limit"        "最多获得以下{d:limit}个奖励"
